frame,time_sec,fhi,class_dominant,n_dets,source_dominant
2,0.033,89.0,Lush Green,6,hsv-primary
4,0.1,88.97,Lush Green,6,hsv-primary
6,0.167,88.829,Lush Green,6,hsv-primary
8,0.233,88.79029999999999,Lush Green,7,hsv-primary
10,0.3,88.76320999999999,Lush Green,6,hsv-primary
12,0.367,88.71424699999999,Lush Green,7,hsv-primary
14,0.433,78.11997289999998,Drought / Severe Stress,8,yolo-det
16,0.5,80.51398102999998,Lush Green,8,hsv-primary
18,0.567,81.64978672099998,Lush Green,9,hsv-primary
20,0.633,73.50485070469998,Drought / Severe Stress,12,yolo-det
22,0.7,61.35339549328998,Drought / Severe Stress,10,yolo-det
24,0.767,68.05737684530298,Lush Green,11,hsv-primary
26,0.833,63.00016379171208,Drought / Severe Stress,13,yolo-det
28,0.9,59.67011465419846,Drought / Severe Stress,13,yolo-det
30,0.967,67.77908025793892,Lush Green,11,hsv-primary
32,1.033,63.52535618055724,Drought / Severe Stress,15,yolo-det
34,1.1,60.637749326390065,Drought / Severe Stress,13,yolo-det
36,1.167,59.096424528473044,Drought / Severe Stress,16,yolo-det
38,1.233,58.10749716993112,Drought / Severe Stress,13,yolo-det
40,1.3,57.26524801895178,Drought / Severe Stress,15,yolo-det
42,1.367,56.34567361326624,Drought / Severe Stress,15,yolo-det
44,1.433,55.91197152928637,Drought / Severe Stress,15,yolo-det
46,1.5,54.79838007050046,Drought / Severe Stress,12,yolo-det
48,1.567,62.38886604935031,Lush Green,11,hsv-primary
50,1.633,51.952206234545216,Drought / Severe Stress,16,yolo-det
52,1.7,60.966544364181644,Lush Green,13,hsv-primary
54,1.767,68.11658105492714,Lush Green,11,hsv-primary
56,1.833,71.441606738449,Lush Green,14,hsv-primary
58,1.9,73.70912471691429,Lush Green,14,hsv-primary
60,1.967,75.35638730184,Lush Green,15,hsv-primary
62,2.033,76.05947111128799,Lush Green,15,hsv-primary
64,2.1,76.76162977790159,Lush Green,11,hsv-primary
66,2.167,77.40314084453111,Lush Green,11,hsv-primary
68,2.233,77.79219859117177,Lush Green,13,hsv-primary
70,2.3,79.95453901382024,Lush Green,9,hsv-primary
72,2.367,79.57817730967416,Lush Green,10,hsv-primary
