frame,time_sec,fhi,class_dominant,n_dets,source_dominant
2,0.033,92.2,Lush Green,8,hsv-primary
4,0.1,92.5,Lush Green,6,hsv-primary
6,0.167,92.92,Lush Green,5,hsv-primary
8,0.233,93.304,Lush Green,6,hsv-primary
10,0.3,92.91279999999999,Lush Green,7,hsv-primary
12,0.367,92.90896,Lush Green,7,hsv-primary
14,0.433,87.05627199999999,Inconsistent Growth,7,yolo-det
16,0.5,88.62939039999999,Lush Green,7,hsv-primary
18,0.567,88.56057327999999,Lush Green,11,hsv-primary
20,0.633,83.35240129599998,Inconsistent Growth,12,yolo-det
22,0.7,76.79668090719998,Inconsistent Growth,12,yolo-det
24,0.767,74.84767663503999,Inconsistent Growth,12,yolo-det
26,0.833,70.78337364452798,Inconsistent Growth,12,yolo-det
28,0.9,70.39836155116959,Inconsistent Growth,13,yolo-det
30,0.967,74.56885308581872,Lush Green,14,hsv-primary
32,1.033,78.0881971600731,Lush Green,16,hsv-primary
34,1.1,76.41173801205116,Inconsistent Growth,12,yolo-det
36,1.167,71.4282166084358,Inconsistent Growth,18,yolo-det
38,1.233,75.64975162590505,Lush Green,17,hsv-primary
40,1.3,78.12482613813353,Lush Green,14,hsv-primary
42,1.367,79.64737829669346,Lush Green,14,hsv-primary
44,1.433,82.18316480768542,Lush Green,13,hsv-primary
46,1.5,83.14821536537978,Lush Green,15,hsv-primary
48,1.567,83.16375075576585,Lush Green,14,hsv-primary
50,1.633,83.9846255290361,Lush Green,14,hsv-primary
52,1.7,86.65923787032526,Lush Green,11,hsv-primary
54,1.767,86.61146650922767,Lush Green,12,hsv-primary
56,1.833,85.70802655645936,Lush Green,13,hsv-primary
58,1.9,86.84561858952155,Lush Green,11,hsv-primary
60,1.967,86.26193301266508,Lush Green,15,hsv-primary
62,2.033,85.85335310886556,Lush Green,12,hsv-primary
64,2.1,85.08734717620588,Lush Green,13,hsv-primary
66,2.167,84.88114302334412,Lush Green,10,hsv-primary
68,2.233,84.88680011634088,Lush Green,13,hsv-primary
70,2.3,84.3207600814386,Lush Green,14,hsv-primary
72,2.367,84.43453205700702,Lush Green,12,hsv-primary
74,2.433,77.07417243990491,Inconsistent Growth,14,yolo-det
76,2.5,79.51192070793344,Lush Green,10,hsv-primary
78,2.567,81.15834449555341,Lush Green,10,hsv-primary
80,2.633,82.76084114688739,Lush Green,8,hsv-primary
82,2.7,84.12258880282116,Lush Green,9,hsv-primary
84,2.767,85.2258121619748,Lush Green,10,hsv-primary
86,2.833,85.90806851338235,Lush Green,10,hsv-primary
88,2.9,86.14564795936764,Lush Green,9,hsv-primary
90,2.967,85.92195357155734,Lush Green,11,hsv-primary
92,3.033,85.10536750009013,Lush Green,11,hsv-primary
94,3.1,84.41375725006309,Lush Green,11,hsv-primary
96,3.167,83.89963007504416,Lush Green,11,hsv-primary
98,3.233,83.5697410525309,Lush Green,12,hsv-primary
100,3.3,83.00881873677163,Lush Green,12,hsv-primary
102,3.367,83.99617311574013,Lush Green,11,hsv-primary
104,3.433,84.50732118101809,Lush Green,10,hsv-primary
106,3.5,84.62512482671266,Lush Green,11,hsv-primary
108,3.567,84.76758737869886,Lush Green,11,hsv-primary
