frame,time_sec,fhi,class_dominant,n_dets,source_dominant
210,6.967,70.2262117402523,Inconsistent Growth,15,hsv-primary
212,7.033,70.51834821817661,Inconsistent Growth,12,hsv-primary
214,7.1,69.82284375272363,Inconsistent Growth,10,hsv-primary
216,7.167,65.67599062690654,Inconsistent Growth,9,hsv-primary
218,7.233,64.45319343883457,Inconsistent Growth,13,hsv-primary
220,7.3,63.9272354071842,Inconsistent Growth,13,hsv-primary
222,7.367,63.16906478502894,Inconsistent Growth,10,hsv-primary
224,7.433,62.81834534952026,Inconsistent Growth,12,hsv-primary
226,7.5,62.452841744664184,Inconsistent Growth,12,hsv-primary
228,7.567,64.41698922126493,Inconsistent Growth,12,hsv-primary
230,7.633,64.14189245488545,Inconsistent Growth,9,hsv-primary
232,7.7,66.01932471841981,Bare Soil / Gap,11,hsv-primary
234,7.767,67.09352730289386,Bare Soil / Gap,14,hsv-primary
236,7.833,67.1254691120257,Bare Soil / Gap,13,hsv-primary
238,7.9,67.65782837841799,Bare Soil / Gap,11,hsv-primary
240,7.967,68.00047986489258,Bare Soil / Gap,10,hsv-primary
242,8.033,69.4103359054248,Bare Soil / Gap,12,hsv-primary
244,8.1,75.25723513379737,Bare Soil / Gap,11,hsv-primary
246,8.167,79.53006459365815,Bare Soil / Gap,10,hsv-primary
248,8.233,83.2110452155607,Lush Green,10,hsv-primary
250,8.3,83.56773165089248,Lush Green,14,hsv-primary
252,8.367,83.87741215562474,Lush Green,14,hsv-primary
254,8.433,82.53418850893732,Lush Green,18,hsv-primary
256,8.5,82.07393195625612,Lush Green,16,hsv-primary
258,8.567,81.33175236937927,Lush Green,14,hsv-primary
260,8.633,81.80222665856549,Lush Green,13,hsv-primary
262,8.7,81.56155866099584,Lush Green,15,hsv-primary
264,8.767,74.70309106269708,Inconsistent Growth,19,yolo-det
266,8.833,69.93216374388795,Inconsistent Growth,19,yolo-det
268,8.9,66.65251462072156,Inconsistent Growth,15,yolo-det
270,8.967,64.41676023450509,Inconsistent Growth,15,yolo-det
272,9.033,68.91173216415356,Lush Green,13,hsv-primary
274,9.1,72.26821251490749,Lush Green,11,hsv-primary
276,9.167,76.20774876043524,Lush Green,12,hsv-primary
278,9.233,79.35542413230466,Lush Green,10,hsv-primary
280,9.3,82.03879689261326,Lush Green,10,hsv-primary
282,9.367,83.88715782482927,Lush Green,11,hsv-primary
284,9.433,84.91101047738049,Lush Green,11,hsv-primary
286,9.5,85.65770733416633,Lush Green,8,hsv-primary
288,9.567,86.60039513391642,Lush Green,7,hsv-primary
290,9.633,87.2602765937415,Lush Green,7,hsv-primary
292,9.7,87.90219361561904,Lush Green,6,hsv-primary
294,9.767,88.23153553093333,Lush Green,9,hsv-primary
296,9.833,88.49207487165333,Lush Green,8,hsv-primary
298,9.9,88.52445241015732,Lush Green,9,hsv-primary
300,9.967,88.60711668711012,Lush Green,9,hsv-primary
302,10.033,88.48498168097709,Lush Green,11,hsv-primary
304,10.1,88.42948717668395,Lush Green,6,hsv-primary
306,10.167,86.74064102367876,Lush Green,12,hsv-primary
308,10.233,87.26844871657514,Lush Green,11,hsv-primary
310,10.3,85.77791410160259,Lush Green,12,hsv-primary
312,10.367,84.9145398711218,Lush Green,12,hsv-primary
314,10.433,85.18017790978526,Lush Green,12,hsv-primary
316,10.5,84.46612453684968,Lush Green,13,hsv-primary
