t,area,hsv_class,hsv_conf,yolo_class,yolo_conf,fused_class,fused_conf,agree
8.7,1446,stressed_crop,0.445,stressed_crop,0.445,stressed_crop,0.445,1
8.7,1403,bare_soil,0.683,bare_soil,0.683,bare_soil,0.683,1
8.8,173700,drought_stress,0.52,drought_stress,0.52,drought_stress,0.52,1
8.8,138272,healthy_crop,0.662,healthy_crop,0.662,healthy_crop,0.662,1
8.8,74288,healthy_crop,0.643,healthy_crop,0.643,healthy_crop,0.643,1
8.8,31878,healthy_crop,0.616,healthy_crop,0.616,healthy_crop,0.616,1
8.8,14326,healthy_crop,0.609,healthy_crop,0.609,healthy_crop,0.609,1
8.8,7179,stressed_crop,0.514,stressed_crop,0.514,stressed_crop,0.514,1
8.8,2416,stressed_crop,0.434,stressed_crop,0.434,stressed_crop,0.434,1
8.8,2285,stressed_crop,0.44,stressed_crop,0.44,stressed_crop,0.44,1
8.8,2120,stressed_crop,0.515,stressed_crop,0.515,stressed_crop,0.515,1
8.8,1936,stressed_crop,0.434,stressed_crop,0.434,stressed_crop,0.434,1
8.8,1391,bare_soil,0.662,bare_soil,0.662,bare_soil,0.662,1
8.9,168357,drought_stress,0.521,drought_stress,0.521,drought_stress,0.521,1
8.9,131585,healthy_crop,0.662,healthy_crop,0.662,healthy_crop,0.662,1
8.9,75120,healthy_crop,0.641,healthy_crop,0.641,healthy_crop,0.641,1
8.9,32142,healthy_crop,0.618,healthy_crop,0.618,healthy_crop,0.618,1
8.9,13489,healthy_crop,0.607,healthy_crop,0.607,healthy_crop,0.607,1
8.9,5999,stressed_crop,0.514,stressed_crop,0.514,stressed_crop,0.514,1
8.9,2672,drought_stress,0.502,drought_stress,0.502,drought_stress,0.502,1
8.9,2299,stressed_crop,0.434,stressed_crop,0.434,stressed_crop,0.434,1
8.9,2209,stressed_crop,0.433,stressed_crop,0.433,stressed_crop,0.433,1
8.9,2181,stressed_crop,0.437,stressed_crop,0.437,stressed_crop,0.437,1
8.9,1907,stressed_crop,0.443,stressed_crop,0.443,stressed_crop,0.443,1
8.9,1897,stressed_crop,0.465,stressed_crop,0.465,stressed_crop,0.465,1
8.9,1864,stressed_crop,0.515,stressed_crop,0.515,stressed_crop,0.515,1
8.9,1754,bare_soil,0.663,bare_soil,0.663,bare_soil,0.663,1
8.9,1729,drought_stress,0.506,drought_stress,0.506,drought_stress,0.506,1
8.9,1681,bare_soil,0.671,bare_soil,0.671,bare_soil,0.671,1
9.0,170185,drought_stress,0.52,drought_stress,0.52,drought_stress,0.52,1
9.0,124353,healthy_crop,0.661,healthy_crop,0.661,healthy_crop,0.661,1
9.0,78039,healthy_crop,0.639,healthy_crop,0.639,healthy_crop,0.639,1
9.0,32011,healthy_crop,0.618,healthy_crop,0.618,healthy_crop,0.618,1
9.0,13670,healthy_crop,0.606,healthy_crop,0.606,healthy_crop,0.606,1
9.0,5639,stressed_crop,0.514,stressed_crop,0.514,stressed_crop,0.514,1
